,sub,LR,NN,p
0,01,0.4940612763954437,0.6916265670941398,0.00010416290963575712
1,02,0.4934033753814857,0.6294586700325132,0.00021021374979723545
2,03,0.7358743065035902,0.844462625690866,7.283084054293651e-05
3,04,0.7539151034632473,0.844015661088536,6.818561546215302e-05
4,06,0.8289169115172168,0.864135922979921,0.010664561905927395
5,09,0.7352100059505151,0.8023743210565177,0.014321718185353367
6,10,0.5840514821614577,0.7360869601768619,0.001663904169598023
7,11,0.6456248325306597,0.7853237381622562,0.0014234603126507261
8,13,0.37945447915621844,0.5130349154376157,0.00025447791567199566
9,14,0.49426937497114853,0.6551390487631856,0.00026369201529562235
10,15,0.3257873277111203,0.5422015610811962,0.018471881265998785
11,16,0.6221023813886566,0.717401671028223,0.022278393255522503
12,17,0.6072763199107367,0.7104191864512698,0.0033248630262284313
13,18,0.5995859752534415,0.7249498138172622,0.019334443012883375
14,19,0.5318009681303513,0.6644492067468522,0.04160712511034069
15,20,0.4301805322836062,0.5672439701880114,2.4247864269308915e-05
16,22,0.7225221331077227,0.7761529320222312,0.00046055250021909236
17,24,0.544998512248617,0.5823920560381914,0.01663476865668769
18,28,0.5980488608630022,0.654757108879571,0.005950157333354587
